
# BEST (mask_ratio(0.5) embedding initialize, head_petition, shuffle=True)
TrainLoss : 4.74319, Train_NSPAcc: 91.89%, Train_MLMAcc: 9.62%, ValidLoss : 8.801, ValidNspAcc : 52.22%, Valid_MLMAcc: 18.95%
TrainLoss : 4.72027, Train_NSPAcc: 91.41%, Train_MLMAcc: 9.80%, ValidLoss : 8.733, ValidNspAcc : 51.40%, Valid_MLMAcc: 19.06%
TrainLoss : 4.73208, Train_NSPAcc: 91.11%, Train_MLMAcc: 9.72%, ValidLoss : 9.302, ValidNspAcc : 53.02%, Valid_MLMAcc: 19.26%
TrainLoss : 4.72684, Train_NSPAcc: 91.50%, Train_MLMAcc: 9.87%, ValidLoss : 8.650, ValidNspAcc : 50.87%, Valid_MLMAcc: 18.78%
TrainLoss : 4.63324, Train_NSPAcc: 93.07%, Train_MLMAcc: 10.11%, ValidLoss : 8.905, ValidNspAcc : 53.45%, Valid_MLMAcc: 19.45%
TrainLoss : 4.63164, Train_NSPAcc: 92.09%, Train_MLMAcc: 10.26%, ValidLoss : 9.318, ValidNspAcc : 53.78%, Valid_MLMAcc: 19.68%
TrainLoss : 4.56960, Train_NSPAcc: 94.63%, Train_MLMAcc: 10.06%, ValidLoss : 9.379, ValidNspAcc : 50.71%, Valid_MLMAcc: 19.33%
TrainLoss : 4.57242, Train_NSPAcc: 93.46%, Train_MLMAcc: 10.29%, ValidLoss : 10.362, ValidNspAcc : 49.58%, Valid_MLMAcc: 19.77%
TrainLoss : 4.63520, Train_NSPAcc: 91.41%, Train_MLMAcc: 10.14%, ValidLoss : 9.850, ValidNspAcc : 48.36%, Valid_MLMAcc: 19.84%
TrainLoss : 4.59155, Train_NSPAcc: 92.97%, Train_MLMAcc: 9.98%, ValidLoss : 9.492, ValidNspAcc : 51.15%, Valid_MLMAcc: 19.56%
TrainLoss : 4.57416, Train_NSPAcc: 92.29%, Train_MLMAcc: 10.12%, ValidLoss : 8.728, ValidNspAcc : 51.89%, Valid_MLMAcc: 19.58%
TrainLoss : 4.54591, Train_NSPAcc: 92.09%, Train_MLMAcc: 10.46%, ValidLoss : 8.781, ValidNspAcc : 51.82%, Valid_MLMAcc: 19.46%
TrainLoss : 4.53878, Train_NSPAcc: 92.77%, Train_MLMAcc: 10.56%, ValidLoss : 9.860, ValidNspAcc : 48.61%, Valid_MLMAcc: 19.58%
TrainLoss : 4.49434, Train_NSPAcc: 93.07%, Train_MLMAcc: 10.74%, ValidLoss : 9.185, ValidNspAcc : 53.49%, Valid_MLMAcc: 19.38%
TrainLoss : 4.51491, Train_NSPAcc: 93.16%, Train_MLMAcc: 10.43%, ValidLoss : 9.712, ValidNspAcc : 50.92%, Valid_MLMAcc: 19.40%
TrainLoss : 4.45669, Train_NSPAcc: 93.55%, Train_MLMAcc: 10.55%, ValidLoss : 10.069, ValidNspAcc : 50.47%, Valid_MLMAcc: 19.74%
TrainLoss : 4.43626, Train_NSPAcc: 94.73%, Train_MLMAcc: 11.00%, ValidLoss : 8.719, ValidNspAcc : 50.95%, Valid_MLMAcc: 19.84%
TrainLoss : 4.42255, Train_NSPAcc: 94.04%, Train_MLMAcc: 10.82%, ValidLoss : 10.018, ValidNspAcc : 50.37%, Valid_MLMAcc: 19.91%
TrainLoss : 4.44214, Train_NSPAcc: 93.26%, Train_MLMAcc: 10.91%, ValidLoss : 9.179, ValidNspAcc : 52.32%, Valid_MLMAcc: 20.04%
TrainLoss : 4.45031, Train_NSPAcc: 91.89%, Train_MLMAcc: 11.02%, ValidLoss : 8.961, ValidNspAcc : 52.22%, Valid_MLMAcc: 20.21%
TrainLoss : 4.39047, Train_NSPAcc: 93.07%, Train_MLMAcc: 11.13%, ValidLoss : 9.927, ValidNspAcc : 50.41%, Valid_MLMAcc: 20.19%
TrainLoss : 4.42640, Train_NSPAcc: 93.36%, Train_MLMAcc: 10.78%, ValidLoss : 10.027, ValidNspAcc : 49.88%, Valid_MLMAcc: 19.65%
TrainLoss : 4.40212, Train_NSPAcc: 93.65%, Train_MLMAcc: 10.77%, ValidLoss : 8.871, ValidNspAcc : 53.16%, Valid_MLMAcc: 20.24%
TrainLoss : 4.33266, Train_NSPAcc: 93.65%, Train_MLMAcc: 11.17%, ValidLoss : 9.195, ValidNspAcc : 51.28%, Valid_MLMAcc: 20.05%
TrainLoss : 4.31723, Train_NSPAcc: 94.92%, Train_MLMAcc: 11.13%, ValidLoss : 9.291, ValidNspAcc : 54.28%, Valid_MLMAcc: 20.00%
TrainLoss : 4.26561, Train_NSPAcc: 96.19%, Train_MLMAcc: 11.23%, ValidLoss : 9.818, ValidNspAcc : 48.81%, Valid_MLMAcc: 20.50%
TrainLoss : 4.27515, Train_NSPAcc: 94.92%, Train_MLMAcc: 11.31%, ValidLoss : 9.969, ValidNspAcc : 48.67%, Valid_MLMAcc: 20.58%
TrainLoss : 4.24603, Train_NSPAcc: 95.41%, Train_MLMAcc: 11.70%, ValidLoss : 9.508, ValidNspAcc : 52.56%, Valid_MLMAcc: 20.12%
TrainLoss : 4.31412, Train_NSPAcc: 93.85%, Train_MLMAcc: 11.62%, ValidLoss : 9.600, ValidNspAcc : 51.64%, Valid_MLMAcc: 20.50%
